web-scraper-order,web-scraper-start-url,next,item,item-href,name,price,describtion
"1696074652-96","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/16","Электродвигатель асинхронный MS90S-6","http://kub-privod.ru/magazin/product/elektrodvigatel-asinhronnyy-ms90s-6","Электродвигатель асинхронный MS90S-6","19482.94","Габаритные и присоединительные размеры, которыми характеризуются электродвигатели трехфазные, соответствуют общепринятому стандарту IEC, что обеспечивает взаимозаменяемость данных двигателей практически со всеми аналогами других производителей. Высокие показатели энергоэффективности и долговечности, широкий диапазон мощностей и оборотов, европейское качество по приемлемым ценам."
"1696074657-7","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/2","Электродвигатель АИР 71В4 0,75кВт*1500об/мин 1081 лапы","http://kub-privod.ru/magazin/product/elektrodvigatel-air-71v4-0-75kvt-1500ob-min-1081-lapy","Электродвигатель АИР 71В4 0,75кВт*1500об/мин 1081 лапы","7760.00","Базовое исполнение – режим работы S1, от сети трехфазного переменного тока 50 Гц напряжением 220В/380В. Климатическое исполнение и категория размещения У3."
"1696074658-97","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/17","Электродвигатель асинхронный 1LA7106-8AB1","http://kub-privod.ru/magazin/product/elektrodvigatel-asinhronnyy-1la7106-8ab1","Электродвигатель асинхронный 1LA7106-8AB1","20700.00","Электродвигатели Siemens 1LA7 позиционируются как самые популярные на рынке России и всего мирового пространства. Универсальное устройство электродвигателя говорит о возможности их успешного применения для решения большинства приводных задач."
"1696074660-8","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/2","Электродвигатель АИР 71 А6 0,37 кВт*1000об/мин 2081 комб","http://kub-privod.ru/magazin/product/elektrodvigatel-air-63v2-0-55kvt-3000ob-min-2081-komb-1","Электродвигатель АИР 71 А6 0,37 кВт*1000об/мин 2081 комб","7600.00","Базовое исполнение – режим работы S1, от сети трехфазного переменного тока 50 Гц напряжением 220В/380В. Климатическое исполнение и категория размещения У3."
"1696074661-98","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/17","Электродвигатель асинхронный 1LA7106-6AA1","http://kub-privod.ru/magazin/product/elektrodvigatel-asinhronnyy-1la7106-6aa1","Электродвигатель асинхронный 1LA7106-6AA1","20700.00","Электродвигатели Siemens 1LA7 позиционируются как самые популярные на рынке России и всего мирового пространства. Универсальное устройство электродвигателя говорит о возможности их успешного применения для решения большинства приводных задач."
"1696074663-9","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/2","Электродвигатель АИР63А6, 0,18 кВт, 1000 об/мин КОМБИ","http://kub-privod.ru/magazin/product/elektrodvigatel-air63a4-0-25-kvt-1500-ob-min-kombi","Электродвигатель АИР63А6, 0,18 кВт, 1000 об/мин КОМБИ","7500.00","Базовое исполнение – режим работы S1, от сети трехфазного переменного тока 50 Гц напряжением 220В/380В. Климатическое исполнение и категория размещения У3."
"1696074664-99","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/17","Взрывозащищенный электродвигатель АИМЛ 80А6 лапы","http://kub-privod.ru/magazin/product/vzryvozashchishchennyy-elektrodvigatel-4vr-80a6","Взрывозащищенный электродвигатель АИМЛ 80А6 лапы","20660.00","Основное (базовое) исполнение – асинхронный трехфазный взрывозащищенный электродвигатель, предназначенный для режима работы S1, с питанием от сети переменного тока 50 Гц напряжением 380В (220В, 660В). Исполнение по взрывозащите 1ExdIIBT4, климатическое исполнение и категория размещения У2, степень защиты IP54, с типовыми техническими характеристиками, соответствующими требованиям стандартов"
"1696074666-10","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/2","Электродвигатель АИР 71В2 1,1кВт*3000об/мин 1081 лапы","http://kub-privod.ru/magazin/product/elektrodvigatel-air-71v2-1-1kvt-3000ob-min-1081-lapy","Электродвигатель АИР 71В2 1,1кВт*3000об/мин 1081 лапы","7500.00","Базовое исполнение – режим работы S1, от сети трехфазного переменного тока 50 Гц напряжением 220В/380В. Климатическое исполнение и категория размещения У3."
"1696074667-100","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/17","Взрывозащищенный электродвигатель ВА 80В4","http://kub-privod.ru/magazin/product/vzryvozashchishchennyy-elektrodvigatel-va-80v2-1","Взрывозащищенный электродвигатель ВА 80В4","20500.00","Основное (базовое) исполнение – асинхронный трехфазный взрывозащищенный электродвигатель, предназначенный для режима работы S1, с питанием от сети переменного тока 50 Гц напряжением 380В (220В, 660В). Исполнение по взрывозащите 1ExdIIBT4, климатическое исполнение и категория размещения У2, степень защиты IP54, с типовыми техническими характеристиками, соответствующими требованиям стандартов"
"1696074669-11","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/2","Электродвигатель АИР 71А4 0,55кВт*1500об/мин 2081 комб","http://kub-privod.ru/magazin/product/elektrodvigatel-air-71a4-0-55kvt-1500ob-min-2081-komb","Электродвигатель АИР 71А4 0,55кВт*1500об/мин 2081 комб","7440.00","Базовое исполнение – режим работы S1, от сети трехфазного переменного тока 50 Гц напряжением 220В/380В. Климатическое исполнение и категория размещения У3."
"1696074670-101","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/17","Взрывозащищенный электродвигатель ВА 80В2","http://kub-privod.ru/magazin/product/vzryvozashchishchennyy-elektrodvigatel-va-80a2","Взрывозащищенный электродвигатель ВА 80В2","20280.00","Основное (базовое) исполнение – асинхронный трехфазный взрывозащищенный электродвигатель, предназначенный для режима работы S1, с питанием от сети переменного тока 50 Гц напряжением 380В (220В, 660В). Исполнение по взрывозащите 1ExdIIBT4, климатическое исполнение и категория размещения У2, степень защиты IP54, с типовыми техническими характеристиками, соответствующими требованиям стандартов"
"1696074672-12","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/2","Электродвигатель АИР 71А2 0,75кВт*3000об/мин 2081 комб","http://kub-privod.ru/magazin/product/elektrodvigatel-air-71a2-0-75kvt-3000ob-min-2081-komb","Электродвигатель АИР 71А2 0,75кВт*3000об/мин 2081 комб","7340.00","Базовое исполнение – режим работы S1, от сети трехфазного переменного тока 50 Гц напряжением 220В/380В. Климатическое исполнение и категория размещения У3."
"1696074673-102","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/17","Взрывозащищенный электродвигатель ВА 80А2","http://kub-privod.ru/magazin/product/vzryvozashchishchennyy-elektrodvigatel-aiml-80a6","Взрывозащищенный электродвигатель ВА 80А2","20280.00","Основное (базовое) исполнение – асинхронный трехфазный взрывозащищенный электродвигатель, предназначенный для режима работы S1, с питанием от сети переменного тока 50 Гц напряжением 380В (220В, 660В). Исполнение по взрывозащите 1ExdIIBT4, климатическое исполнение и категория размещения У2, степень защиты IP54, с типовыми техническими характеристиками, соответствующими требованиям стандартов"
"1696074678-13","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/3","Электродвигатель АИР 80А2 1,5кВт*3000об/мин  2081 комб","http://kub-privod.ru/magazin/product/elektrodvigatel-air-80a2-1-5kvt-3000ob-min-2081-komb","Электродвигатель АИР 80А2 1,5кВт*3000об/мин  2081 комб","9900.00","Базовое исполнение – режим работы S1, от сети трехфазного переменного тока 50 Гц напряжением 220В/380В. Климатическое исполнение и категория размещения У3."
"1696074679-103","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/18","Электродвигатель W20-90L 2,2кW 2Пол В3Т","http://kub-privod.ru/magazin/product/elektrodvigatel-w20-90s-1-5kw-2pol-v3t","Электродвигатель W20-90L 2,2кW 2Пол В3Т","22695.88","Корпорация WEG основана 16 сентября 1961 году. Изначально занимаясь производством электродвигателей, WEG в 80-х начал расширять ассортимент выпускаемой продукции производством электронных компонентов, промышленной автоматизацией, силовыми и понижающими трансформаторами, жидкими и порошковыми красками и изолирующими лаками.



Производство сконцентрировано на 8 производственных площадках размещенных в Бразилии, трех в Аргентине, двух, в Мексике, одна в Китае и в Португалии.



Купить электродвигатель в г. Краснодаре можно по телефону (861) 292-88-46.





Условные обозначения электродвигателей пример:

Электродвигатель W20 2P 2,2 kW 90L B3T



W20 – тип электродвигателя;



2Р – количество полюсов;



2,2 kW – мощность электродвигателя;



90 – габарит электродвигателя;



L- длина сердечника и/или длина станины;



В3- монтажное исполнение;



Т – клемная коробка смонтирована сверху двигателя."
"1696074681-14","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/3","Электродвигатель АИР 80А4 1,1кВт*1500об/мин 1081 лапы","http://kub-privod.ru/magazin/product/elektrodvigatel-air-80a4-1-1kvt-1500ob-min-1081-lapy","Электродвигатель АИР 80А4 1,1кВт*1500об/мин 1081 лапы","9520.00","Базовое исполнение – режим работы S1, от сети трехфазного переменного тока 50 Гц напряжением 220В/380В. Климатическое исполнение и категория размещения У3."
"1696074682-104","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/18","Электродвигатель W20-90S 1,5кW 2Пол В3Т","http://kub-privod.ru/magazin/product/elektrodvigatel-w20-80-0-75kw-2pol-v3t-1","Электродвигатель W20-90S 1,5кW 2Пол В3Т","22695.88","Корпорация WEG основана 16 сентября 1961 году. Изначально занимаясь производством электродвигателей, WEG в 80-х начал расширять ассортимент выпускаемой продукции производством электронных компонентов, промышленной автоматизацией, силовыми и понижающими трансформаторами, жидкими и порошковыми красками и изолирующими лаками.



Производство сконцентрировано на 8 производственных площадках размещенных в Бразилии, трех в Аргентине, двух, в Мексике, одна в Китае и в Португалии.



Асинхронные электродвигатели общепромышленного применения WEG представлены сериями W22 и W20.



Купить электродвигатель в г. Краснодаре можно по телефону (861) 292-88-46.





Условные обозначения электродвигателей пример:

Электродвигатель W20 2P 2,2 kW 90L B3T



W20 – тип электродвигателя;



2Р – количество полюсов;



2,2 kW – мощность электродвигателя;



90 – габарит электродвигателя;



L- длина сердечника и/или длина станины;



В3- монтажное исполнение;



Т – клемная коробка смонтирована сверху двигателя."
"1696074684-15","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/3","Электродвигатель АИР 80А2 1,5кВт*3000об/мин 1081 лапы","http://kub-privod.ru/magazin/product/elektrodvigatel-air-80a2-1-5kvt-3000ob-min-1081-lapy","Электродвигатель АИР 80А2 1,5кВт*3000об/мин 1081 лапы","9460.00","Базовое исполнение – режим работы S1, от сети трехфазного переменного тока 50 Гц напряжением 220В/380В. Климатическое исполнение и категория размещения У3."
"1696074685-105","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/18","Электродвигатель асинхронный 1LA7106-4AA1","http://kub-privod.ru/magazin/product/elektrodvigatel-asinhronnyy-1la7096-4aa1-1","Электродвигатель асинхронный 1LA7106-4AA1","22040.00","Электродвигатели Siemens 1LA7 позиционируются как самые популярные на рынке России и всего мирового пространства. Универсальное устройство электродвигателя говорит о возможности их успешного применения для решения большинства приводных задач."
"1696074687-16","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/3","Электродвигатель асинхронный однофазный АИР2Е 71B4 220В 0,55кВт 1500об/мин 2081 серии ONI","http://kub-privod.ru/magazin/product/elektrodvigatel-odnofaznyy-air2e-71-b2-0-75-kvt-3000-ob-min-220-v-im2081-1","Электродвигатель асинхронный однофазный АИР2Е 71B4 220В 0,55кВт, 1500об/мин (комби) серии ONI​​​​​​​","9040.00","Отличительной особенностью асинхронных двигателей АИР, выпускаемых под брендом «ONI», от других российских аналогов является использование высококачественных японских подшипников марки NSK. Двигатели с подшипниками NSK обладают более высокими эксплуатационными качествами, надежностью, большим энергосбережением, увеличенным сроком службы и проходят тройной контроль качества."
"1696074688-106","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/18","Взрывозащищенный электродвигатель 4ВР 80В2","http://kub-privod.ru/magazin/product/vzryvozashchishchennyy-elektrodvigatel-4vr-80a6-1","Взрывозащищенный электродвигатель 4ВР 80В2","21660.00","Основное (базовое) исполнение – асинхронный трехфазный взрывозащищенный электродвигатель, предназначенный для режима работы S1, с питанием от сети переменного тока 50 Гц напряжением 380В (220В, 660В). Исполнение по взрывозащите 1ExdIIBT4, климатическое исполнение и категория размещения У2, степень защиты IP54, с типовыми техническими характеристиками, соответствующими требованиям стандартов"
"1696074690-17","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/3","Электродвигатель АИР 71В4 0,75кВт*1500об/мин 2081 комб","http://kub-privod.ru/magazin/product/elektrodvigatel-air-71v4-0-75kvt-1500ob-min-2081-komb","Электродвигатель АИР 71В4 0,75кВт*1500об/мин 2081 комб","8140.00","Базовое исполнение – режим работы S1, от сети трехфазного переменного тока 50 Гц напряжением 220В/380В. Климатическое исполнение и категория размещения У3."
"1696074691-107","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/18","Электродвигатель асинхронный Abble MS100L-6","http://kub-privod.ru/magazin/product/elektrodvigatel-asinhronnyy-ms100l-6-1","Электродвигатель асинхронный Abble MS100L-6","21300.00","Габаритные и присоединительные размеры, которыми характеризуются электродвигатели трехфазные, соответствуют общепринятому стандарту IEC, что обеспечивает взаимозаменяемость данных двигателей практически со всеми аналогами других производителей. Высокие показатели энергоэффективности и долговечности, широкий диапазон мощностей и оборотов, европейское качество по приемлемым ценам."
"1696074693-18","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/3","Электродвигатель АИР 71В2 1,1кВт*3000об/мин 2081 комб","http://kub-privod.ru/magazin/product/elektrodvigatel-air-71v2-1-1kvt-3000ob-min-2081-komb","Электродвигатель трехфазный АИР 71В2 1,1кВт*3000об/мин 2081 комб","7860.00","Базовое исполнение – режим работы S1, от сети трехфазного переменного тока 50 Гц напряжением 220В/380В. Климатическое исполнение и категория размещения У3."
"1696074694-108","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/18","Электродвигатель 3 кВт 1500 об/мин (трехфазный 220/380) комби АИР100S4","http://kub-privod.ru/magazin/product/air100s4-elektrodvigatel-3-kvt-1500-ob/min-trekhfaznyy-220/380-kombi","Электродвигатель 3 кВт 1500 об/мин (трехфазный 220/380) комби АИР100S4","20980.00","Основные технические характеристики:"
"1696074699-19","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/4","Электродвигатель АИР 80В2 2,2кВт*3000об/мин 1081 лапы","http://kub-privod.ru/magazin/product/elektrodvigatel-air-80v2-2-2kvt-3000ob-min-1081-lapy","Электродвигатель АИР 80В2 2,2кВт*3000об/мин 1081 лапы","10440.00","Базовое исполнение – режим работы S1, от сети трехфазного переменного тока 50 Гц напряжением 220В/380В. Климатическое исполнение и категория размещения У3."
"1696074700-109","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/19","Электродвигатель асинхронный 4 кВт, 1500 об, 2081 2/3 АИР100L4 У2 IP55 Al Элси","http://kub-privod.ru/magazin/product/elektrodvigatel-asinkhronnyy-air-80a2","Электродвигатель асинхронный 4 кВт, 1500 об, 2081 2/3 АИР100L4 У2 IP55 Al Элси","24080.00","Асинхронные электродвигатели АИР (ранее выпускались двигатели 4А, 4АМ) с короткозамкнутым ротором, благодаря простоте конструкции, отсутствию подвижных контактов, высокой ремонтопригодности, невысокой цене по сравнению с другими электрическими двигателями применяются практически во всех отраслях промышленности и сельского хозяйства. Они используются для привода вентиляционного оборудования, насосов, компрессорных установок, станков, эскалаторов и многих других машин."
"1696074702-20","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/4","Электродвигатель АИР71А4-У2-220/380-50IM2081","http://kub-privod.ru/magazin/product/elektrodvigatel-asinhronnyj-air-71v4-im-3081","Электродвигатель АИР71А4-У2-220/380-50IM2081","10320.00","Асинхронные электродвигатели АИР (ранее выпускались двигатели 4А, 4АМ) с короткозамкнутым ротором, благодаря простоте конструкции, отсутствию подвижных контактов, высокой ремонтопригодности, невысокой цене по сравнению с другими электрическими двигателями применяются практически во всех отраслях промышленности и сельского хозяйства. Они используются для привода вентиляционного оборудования, насосов, компрессорных установок, станков, эскалаторов и многих других машин."
"1696074703-110","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/19","Электродвигатель АИР 112 М2, 7,5 кВт, 3000 об/мин IM1081 лапы","http://kub-privod.ru/magazin/product/elektrodvigatel-air-132-s4-7-5-kvt-1500-ob-min-im1081-lapy-1","Электродвигатель АИР 112 М2, 7,5 кВт, 3000 об/мин IM1081 лапы","23920.00","Базовое исполнение – режим работы S1, от сети трехфазного переменного тока 50 Гц напряжением 220В/380В. Климатическое исполнение и категория размещения У3."
"1696074706-21","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/4","Электродвигатель однофазный АИР2Е 71 B2, 0,75 кВт, 3000 об/мин, 220 В, IM2081","http://kub-privod.ru/magazin/product/elektrodvigatel-odnofaznyy-air2e-71-b2-0-75-kvt-3000-ob/min-220-v-im2081","Электродвигатель однофазный АИР2Е 71 B2, 0,75 кВт, 3000 об/мин, 220 В, IM2081","10160.00","Отличительной особенностью асинхронных двигателей АИР, выпускаемых под брендом «ONI», от других российских аналогов является использование высококачественных японских подшипников марки NSK. Двигатели с подшипниками NSK обладают более высокими эксплуатационными качествами, надежностью, большим энергосбережением, увеличенным сроком службы и проходят тройной контроль качества."
"1696074706-111","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/19","Электродвигатель АИР 112М4 5,5кВт*1500об/мин 1081 лапы","http://kub-privod.ru/magazin/product/elektrodvigatel-air-100l2-5-5kvt-3000ob-min-1081-lapy-1","Электродвигатель АИР 112М4 5,5кВт*1500об/мин 1081 лапы","23900.00","Базовое исполнение – режим работы S1, от сети трехфазного переменного тока 50 Гц напряжением 220В/380В. Климатическое исполнение и категория размещения У3."
"1696074709-22","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/4","Электродвигатель АИР71А2-У2-220/380-50 IM2081 IE1(Могилев)","http://kub-privod.ru/magazin/product/elektrodvigatel-asinhronnyj-air-71a2-0-75-kvt-3000-ob-min-1","Электродвигатель асинхронный АИР 71А2, 0,75 кВт, 3000 об/мин","10160.00","Асинхронные электродвигатели АИР (ранее выпускались двигатели 4А, 4АМ) с короткозамкнутым ротором, благодаря простоте конструкции, отсутствию подвижных контактов, высокой ремонтопригодности, невысокой цене по сравнению с другими электрическими двигателями применяются практически во всех отраслях промышленности и сельского хозяйства. Они используются для привода вентиляционного оборудования, насосов, компрессорных установок, станков, эскалаторов и многих других машин."
"1696074709-112","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/19","Электродвигатель асинхронный АИР100L6 2,2*1000","http://kub-privod.ru/magazin/product/elektrodvigatel-asinhronnyy-air-100l2-1","Электродвигатель асинхронный АИР100L6 2,2*1000","23060.00","Асинхронные электродвигатели АИР (ранее выпускались двигатели 4А, 4АМ) с короткозамкнутым ротором, благодаря простоте конструкции, отсутствию подвижных контактов, высокой ремонтопригодности, невысокой цене по сравнению с другими электрическими двигателями применяются практически во всех отраслях промышленности и сельского хозяйства. Они используются для привода вентиляционного оборудования, насосов, компрессорных установок, станков, эскалаторов и многих других машин."
